name,state,vin,year,vehicle,model,engine,transmission,drivetrain,cab,bed,color,interior,base_msrp,total_msrp,availability_date,total_packages,packages,dealerId,url,regionId,lat,long
Camelback Toyota,AZ,4T1DAACK4SU139833,2025,camry,le,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Reservoir Blue,Black,28700,31194.0,,4,"50 State Emissions, Owner's Portfolio, All-Weather Floor Liner Package[installed_msrp], Convenience Package",2036,https://www.camelbacktoyota.com,15,33.510892,-112.047885
Camelback Toyota,AZ,4T1DAACK1SU144889,2025,camry,se,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Underground,Boulder,31000,32668.0,,4,"50 State Emissions, Carpet Mat Package[installed_msrp], Door Sill Protectors[installed_msrp], Trunk LED Bulb[installed_msrp]",2036,https://www.camelbacktoyota.com,15,33.510892,-112.047885
Camelback Toyota,AZ,4T1DAACK4SU145390,2025,camry,se,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Reservoir Blue,Black,31000,32703.0,,5,"Black Badge Overlays, 50 State Emissions, Key Gloves[installed_msrp], Carpet Mat Package[installed_msrp], Mudguards[installed_msrp]",2036,https://www.camelbacktoyota.com,15,33.510892,-112.047885
Camelback Toyota,AZ,4T1DBADK8SU530320,2025,camry,se,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,All-Wheel Drive,,,Ice Cap,Boulder,32525,34063.0,,4,"Carpet Mat Package[installed_msrp], Trunk LED Bulb[installed_msrp], Rear Bumper Applique: Black[installed_msrp], 50 State Emissions",2036,https://www.camelbacktoyota.com,15,33.510892,-112.047885
Camelback Toyota,AZ,4T1DAACK9SU600363,2025,camry,xse,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Heavy Metal with Midnight Black Metallic roof [extra_cost_color],Black,34900,42388.0,,10,"19"" Dark Grey Metallic Wheels[installed_msrp], Mudguards[installed_msrp], 50 State Emissions, Special Color, Two-tone exterior color (color-keyed body with black roof) [extra_cost_color], Carpet Mat Package[installed_msrp], Illuminated Door Sills[installed_msrp], Premium Package, Trunk LED Bulb[installed_msrp], Front Accent Lighting[installed_msrp]",2036,https://www.camelbacktoyota.com,15,33.510892,-112.047885
AutoNation Toyota Tempe,AZ,4T1DAACK6SU144631,2025,camry,le,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Ice Cap,Black,28700,30144.0,,2,"All-Weather Floor Liner Package[installed_msrp], 50 State Emissions",2042,https://www.autonationtoyotatempe.com,15,33.34441,-111.97019
AutoNation Toyota Tempe,AZ,4T1DAACK1SU142026,2025,camry,se,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Ice Cap,Black,31000,33914.0,,4,"Carpet Mat Package[installed_msrp], Convenience Package, 50 State Emissions, Power tilt/slide moonroof",2042,https://www.autonationtoyotatempe.com,15,33.34441,-111.97019
AutoNation Toyota Tempe,AZ,4T1DAACKXSU141375,2025,camry,se,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Supersonic Red [extra_cost_color],Boulder,31000,34833.0,,10,"Carpet Mat Package[installed_msrp], 50 State Emissions, Rear Bumper Applique: Black[installed_msrp], Key Gloves[installed_msrp], Multimedia Upgrade Package, Special Color, Power tilt/slide moonroof, Trunk LED Bulb[installed_msrp], Quick Charging Cable Package[installed_msrp], Convenience Package",2042,https://www.autonationtoyotatempe.com,15,33.34441,-111.97019
AutoNation Toyota Tempe,AZ,4T1DAACK2SU140916,2025,camry,se,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Midnight Black Metallic,Black,31000,35417.0,,8,"Convenience Package, Carpet Mat Package[installed_msrp], Rear Bumper Applique: Black[installed_msrp], 50 State Emissions, Power tilt/slide moonroof, Door Sill Protectors[installed_msrp], Cold Weather Package, Multimedia Upgrade Package",2042,https://www.autonationtoyotatempe.com,15,33.34441,-111.97019
AutoNation Toyota Tempe,AZ,4T1DAACK5SU135306,2025,camry,xse,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Wind Chill Pearl [extra_cost_color],Black,34900,36344.0,,3,"All-Weather Floor Liner Package[installed_msrp], 50 State Emissions, Special Color",2042,https://www.autonationtoyotatempe.com,15,33.34441,-111.97019
Berge Toyota,AZ,4T1DAACK9SU140394,2025,camry,xse,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Underground,Black,34900,36803.0,,5,"Black Badge Overlays, Illuminated Door Sills[installed_msrp], All-Weather Floor Liner Package[installed_msrp], Trunk LED Bulb[installed_msrp], 50 State Emissions",2053,https://www.bergetoyota.com,15,33.436079,-111.870303
Berge Toyota,AZ,4T1DAACK7SU140264,2025,camry,xse,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Underground,Black,34900,38214.0,,8,"Mudguards[installed_msrp], First Aid Kit[installed_msrp], Black Badge Overlays, All-Weather Floor Liner Package[installed_msrp], 50 State Emissions, 19"" Dark Grey Metallic Wheels[installed_msrp], Trunk LED Bulb[installed_msrp], Lower Rocker Applique[installed_msrp]",2053,https://www.bergetoyota.com,15,33.436079,-111.870303
Berge Toyota,AZ,4T1DAACK3SU137569,2025,camry,XLE,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Underground,Lt. Gray,33700,38645.0,,2,"Premium Package, 50 State Emissions",2053,https://www.bergetoyota.com,15,33.436079,-111.870303
Berge Toyota,AZ,4T1DAACK2SU143086,2025,camry,xse,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Underground,Cockpit Red,34900,38771.0,,7,"Accent Light & Wheel Package[installed_msrp], 50 State Emissions, Illuminated Door Sills[installed_msrp], Black Badge Overlays, Trunk LED Bulb[installed_msrp], Carpet Mat Package[installed_msrp], Rear Bumper Applique: Black[installed_msrp]",2053,https://www.bergetoyota.com,15,33.436079,-111.870303
Berge Toyota,AZ,4T1DAACK6SU143124,2025,camry,xse,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Ocean Gem,Black,34900,39488.0,,8,"Quick Charging Cable Package[installed_msrp], Panoramic glass roof with front power tilt/slide moonroof, Trunk LED Bulb[installed_msrp], Mudguards[installed_msrp], 19"" Dark Grey Metallic Wheels[installed_msrp], Rear Bumper Applique: Black[installed_msrp], 50 State Emissions, All-Weather Floor Liner Package[installed_msrp]",2053,https://www.bergetoyota.com,15,33.436079,-111.870303
Berge Toyota,AZ,4T1DAACK5SU601249,2025,camry,xse,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Heavy Metal with Midnight Black Metallic roof [extra_cost_color],Cockpit Red,34900,41783.0,,10,"Premium Package, Trunk LED Bulb[installed_msrp], All-Weather Floor Liner Package[installed_msrp], Quick Charging Cable Package[installed_msrp], 19"" Dark Grey Metallic Wheels[installed_msrp], 50 State Emissions, Special Color, Mudguards[installed_msrp], Rear Bumper Applique: Black[installed_msrp], Two-tone exterior color (color-keyed body with black roof) [extra_cost_color]",2053,https://www.bergetoyota.com,15,33.436079,-111.870303
Avondale Toyota,AZ,4T1DAACKXSU144535,2025,camry,se,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Underground,Boulder,31000,32777.0,,6,"Trunk LED Bulb[installed_msrp], Black Badge Overlays, Mudguards[installed_msrp], 50 State Emissions, Carpet Mat Package[installed_msrp], Rear Bumper Applique: Black[installed_msrp]",2050,https://www.avondaletoyota.com,15,33.459983,-112.276095
Avondale Toyota,AZ,4T1DAACK5SU600652,2025,camry,se,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Ice Cap,Black,31000,35243.0,,8,"Convenience Package, 50 State Emissions, Cold Weather Package, Carpet Mat Package[installed_msrp], Trunk LED Bulb[installed_msrp], Power tilt/slide moonroof, Multimedia Upgrade Package, Rear Bumper Applique: Black[installed_msrp]",2050,https://www.avondaletoyota.com,15,33.459983,-112.276095
Avondale Toyota,AZ,4T1DAACK4SU140383,2025,camry,se,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Midnight Black Metallic,Black,31000,35299.0,,7,"Multimedia Upgrade Package, Mudguards[installed_msrp], 50 State Emissions, Carpet Mat Package[installed_msrp], Convenience Package, Cold Weather Package, Power tilt/slide moonroof",2050,https://www.avondaletoyota.com,15,33.459983,-112.276095
Avondale Toyota,AZ,4T1DAACK0SU600431,2025,camry,se,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Ice Cap,Boulder,31000,35482.0,,10,"Carpet Mat Package[installed_msrp], Cold Weather Package, Rear Bumper Applique: Black[installed_msrp], Trunk LED Bulb[installed_msrp], Black Badge Overlays, Mudguards[installed_msrp], 50 State Emissions, Power tilt/slide moonroof, Multimedia Upgrade Package, Convenience Package",2050,https://www.avondaletoyota.com,15,33.459983,-112.276095
Avondale Toyota,AZ,4T1DAACK5SU140876,2025,camry,xse,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Midnight Black Metallic,Black,34900,38018.0,,6,"50 State Emissions, Lower Rocker Applique[installed_msrp], Carpet Mat Package[installed_msrp], Rear Bumper Applique: Black[installed_msrp], Trunk LED Bulb[installed_msrp], 19"" Dark Grey Metallic Wheels[installed_msrp]",2050,https://www.avondaletoyota.com,15,33.459983,-112.276095
Avondale Toyota,AZ,4T1DAACK8SU142444,2025,camry,xse,2.5L 4-Cyl. Gas/Electric Hybrid,Electronically controlled Continuously Variable Transmission (ECVT) with sequential shift mode,Front-Wheel Drive,,,Underground,Black,34900,38063.0,,5,"50 State Emissions, 19"" Dark Grey Metallic Wheels[installed_msrp], Mudguards[installed_msrp], Rear Bumper Applique: Black[installed_msrp], Carpet Mat Package[installed_msrp]",2050,https://www.avondaletoyota.com,15,33.459983,-112.276095
